スキップ,聖遺物セット,攻撃%,防御%,元素バフ,通常バフ,重撃バフ,スキルバフ,爆発バフ,元素反応(倍率),元素反応(固定),元素反応(激化),元素熟知,元チャ,絶縁爆発バフ倍率,会心率,攻撃速度,HP%,治癒効果
1,ファントムハンター,,,,0.15,0.15,,,,,,,,,0.36,,,
0,砂上4,,,0,0.4,0.4,,,,,,,,,,0.1,,
0,沈淪4,,,0,0.3,0.3,,,,,,,,,,,,
0,楽団4,,,,,0.35,,,,,,80,,,,,,
1,辰砂4,0.66,,,,,,,,,,,,,,,,
1,氷風4,,,0,,,,,,,,,,,0.4,,,
0,しめ縄4,0.18,,,0.5,0.5,,,,,,,,,,,,
0,金メッキ4,,,,,,,,,,,230,,,,,,
0,千岩+花海,,,,,,,,,,,,,,,,0.4,
0,劇団4(控え),,,,,,0.75,,,,,,,,,,,
0,劇団4(表),,,,,,0.45,,,,,,,,,,,
0,劇団+千岩,,,,,,0.25,,,,,,,,,,0.2,
0,深林,,,,,,,,,,,,,,,,,
0,千岩4,0.2,,,,,,,,,,,,,,,0.2,
0,劇団+沈淪,,,0,,,0.2,,,,,,,,,,,
0,花海4,,,,,,0.5,0.5,,,,,,,,,0.2,
0,火魔女,,,0,,,,,0.15,,,,,,,,,
0,剣闘士4,,,,,,,,,,,,,,,,,
0,華館4,,0.54,0,,,,,,,,,,,,,,
0,海染4,,,,,,,,,,,,,,,,,0.15
0,千岩+海染,,,,,,,,,,,,,,,,0.2,0.15
0,沈淪+海染,,,0,,,,,,,,,,,,,,0.15
0,愛され+海染,,,,,,,,,,,,,,,,,0.3
0,悠久4,,,0.35,,,,,,,,,,,,,,
0,雷4,,,0.15,,,,,,0.4,0.2,,,,,,,
0,楽団+雷,,,0.15,,,,,,,,80,,,,,,
0,しめ縄+剣闘士,0.36,,,,,,,,,,,,,,,,